Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.055539623,9324.818,66139.03,0.3333789,0.04446549,2.1193648235
2,0.053240784,9735.965,60241.777,0.37756225,0.029839793,2.10597752
3,0.05563241,9369.868,55461.08,0.3298231,0.033346668,2.10965231692
4,0.09945453,4000.1567,15457.083,0.25821075,0.09484401,2.14909261278
5,0.089040905,3052.4294,9631.26,0.3175784,0.0922907,2.11782861891
6,0.1399689,1634.7438,3907.6255,0.23481916,0.15718763,2.16295976248
7,0.16569073,1049.4275,2113.0894,0.24082549,0.21667978,2.16190424913
